,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__criterion,param_clf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,15.706584787368774,0.107240145389763,2.504968357086182,0.03494553916592343,True,"(1, 3)",10,0.8,800,0.30000000000000004,0.5,1,28,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.8, 'clf__n_estimators': 800, 'clf__min_samples_split': 0.30000000000000004, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 1, 'clf__max_depth': 28, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
1,5.913688611984253,0.09483504267404241,1.5153666019439698,0.015670042395553353,True,"(1, 2)",5,0.6,300,0.7000000000000001,0.30000000000000004,6,9,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.6, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 6, 'clf__max_depth': 9, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
2,6.278703498840332,0.030371329684011048,1.2887418746948243,0.02835578678973572,True,"(1, 2)",50,0.5,600,0.8,0.30000000000000004,5,26,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.5, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 5, 'clf__max_depth': 26, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
3,13.041568660736084,0.11947847709094407,2.288583183288574,0.01075008597884931,True,"(1, 3)",10,0.7,600,0.6,0.1,3,3,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 3, 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
4,13.079422426223754,0.0771257859106932,1.6066580295562745,0.023371268272290923,True,"(1, 3)",50,0.7,400,0.7000000000000001,0.2,5,31,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.7, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 5, 'clf__max_depth': 31, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
5,13.513327026367188,0.10505736558088619,2.1076632022857664,0.04272524587319956,True,"(1, 3)",25,0.6,600,0.2,0.30000000000000004,5,18,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.6, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.2, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 5, 'clf__max_depth': 18, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
6,13.766198968887329,0.16326204106889786,1.7454041481018066,0.02384391624654094,True,"(1, 3)",100,0.6,1000,0.5,0.2,3,23,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.6, 'clf__n_estimators': 1000, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 3, 'clf__max_depth': 23, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
7,15.629832887649536,0.13892318894092479,2.9845048904418947,0.014150293610851591,True,"(1, 3)",10,0.9,900,0.7000000000000001,0.5,2,16,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__n_estimators': 900, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 2, 'clf__max_depth': 16, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
8,15.331258153915405,0.15538324412955107,2.7096211910247803,0.08895371377772546,True,"(1, 3)",10,0.9,700,0.8,0.2,1,26,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 1, 'clf__max_depth': 26, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
9,17.637706422805785,0.1171578522471094,2.2348812103271483,0.043948646662106204,True,"(1, 3)",50,0.6,800,0.9,0.2,3,13,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.6, 'clf__n_estimators': 800, 'clf__min_samples_split': 0.9, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 3, 'clf__max_depth': 13, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
10,7.081491231918335,0.08814628083413509,1.295497179031372,0.0025349575592127165,True,"(1, 2)",25,0.7,50,1.0,0.5,2,27,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 25, 'tfidf__max_df': 0.7, 'clf__n_estimators': 50, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 2, 'clf__max_depth': 27, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
11,16.30018320083618,0.11277916663052039,1.844938373565674,0.04509645089533867,True,"(1, 3)",100,0.8,400,0.8,0.2,2,10,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.8, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 2, 'clf__max_depth': 10, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
12,8.547590065002442,0.08708438531712437,2.790565013885498,0.06870468770740185,True,"(1, 2)",5,0.5,700,0.6,0.2,6,8,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.5, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 6, 'clf__max_depth': 8, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
13,7.462589073181152,0.09507150196860327,1.1677207469940185,0.028107517409714105,True,"(1, 2)",100,0.8,50,0.8,0.1,3,15,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.8, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 3, 'clf__max_depth': 15, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
14,16.39883041381836,0.06921346075664238,1.7667160034179688,0.05555328604841681,True,"(1, 3)",50,0.7,100,0.5,0.2,3,7,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.7, 'clf__n_estimators': 100, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 3, 'clf__max_depth': 7, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
15,19.788027429580687,0.5198990892564661,2.5578073024749757,0.5067851406049868,True,"(1, 3)",10,0.8,300,0.7000000000000001,0.4,3,21,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.8, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 3, 'clf__max_depth': 21, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
16,7.237919616699219,0.17081314187439678,1.5575321197509766,0.03235855911838582,True,"(1, 2)",25,0.5,300,0.5,0.4,4,2,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 25, 'tfidf__max_df': 0.5, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 4, 'clf__max_depth': 2, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
17,17.91143145561218,0.2472997155018967,2.021250772476196,0.08956969437247225,True,"(1, 3)",100,0.5,100,0.6,0.30000000000000004,1,4,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.5, 'clf__n_estimators': 100, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 1, 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
18,20.091171550750733,0.31986857812768654,2.137689161300659,0.04446448659939966,True,"(1, 3)",50,0.8,900,0.5,0.2,3,4,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.8, 'clf__n_estimators': 900, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 3, 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
19,8.274829244613647,0.24423322178818413,3.2210951328277586,0.10417399518833287,True,"(1, 2)",5,0.6,700,0.7000000000000001,0.5,1,11,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.6, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 1, 'clf__max_depth': 11, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
20,16.755194997787477,0.4286119998937398,2.5372182369232177,0.03941552623327705,True,"(1, 3)",25,0.5,800,0.6,0.30000000000000004,6,16,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.5, 'clf__n_estimators': 800, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 6, 'clf__max_depth': 16, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
21,7.915833044052124,0.06097473198094646,2.378908061981201,0.06817391107246823,True,"(1, 2)",25,0.7,1000,0.5,0.4,5,6,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 25, 'tfidf__max_df': 0.7, 'clf__n_estimators': 1000, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 5, 'clf__max_depth': 6, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
22,16.078971481323244,0.06324444387172336,1.8104087352752685,0.06658259123589044,True,"(1, 3)",25,0.8,100,0.6,0.1,1,13,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.8, 'clf__n_estimators': 100, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 1, 'clf__max_depth': 13, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
23,7.9024029731750485,0.07238434143739576,1.5008979797363282,0.021381141262183916,True,"(1, 2)",50,0.9,600,1.0,0.4,1,16,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__n_estimators': 600, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 1, 'clf__max_depth': 16, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
